epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.5760869383811951,1.6324381828308105,0.8505434989929199,0.6126144528388977,0.0010000000474974513
2,0.8488451242446899,0.5272217988967896,0.8913043737411499,0.4262724220752716,0.0010000000474974513
3,0.8916440010070801,0.3771441578865051,0.8804348111152649,0.38460102677345276,0.0010000000474974513
4,0.914402186870575,0.2942701280117035,0.89673912525177,0.3546482026576996,0.0010000000474974513
5,0.92629075050354,0.25320181250572205,0.898097813129425,0.3535962402820587,0.0010000000474974513
6,0.94089674949646,0.21424107253551483,0.898097813129425,0.33972281217575073,0.0010000000474974513
7,0.9507473111152649,0.17598453164100647,0.895380437374115,0.34395015239715576,0.0010000000474974513
8,0.9459918737411499,0.17326533794403076,0.9008151888847351,0.3113863468170166,0.0010000000474974513
9,0.95923912525177,0.14738330245018005,0.9021739363670349,0.3259477913379669,0.0010000000474974513
10,0.96705162525177,0.12648208439350128,0.89673912525177,0.3409302830696106,0.0010000000474974513
