model_name,model_type,image_size,num_classes,epochs_run,best_validation_accuracy,best_validation_loss,test_accuracy,test_loss,test_accuracy_improvement_vs_baseline
baseline_custom_cnn,Custom CNN trained from scratch,224x224,37,20,0.1263587027788162,3.2652554512023926,0.111747071146965,3.316179037094116,0.0
mobilenetv2_transfer_classifier,"MobileNetV2 transfer learning, frozen base",224x224,37,10,0.9021739363670349,0.3113863468170166,0.890705943107605,0.34124118089675903,0.77895887196064
