epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.04993206635117531,3.7603304386138916,0.025815216824412346,3.819058895111084,0.0010000000474974513
2,0.05842391401529312,3.59211802482605,0.021739130839705467,4.17370080947876,0.0010000000474974513
3,0.06419836729764938,3.539942502975464,0.039402175694704056,4.148205757141113,0.0010000000474974513
4,0.08525814861059189,3.4425745010375977,0.043478261679410934,4.2096943855285645,0.0005000000237487257
5,0.08627717196941376,3.4105725288391113,0.04076087102293968,4.022226333618164,0.0005000000237487257
6,0.09408967196941376,3.350029706954956,0.054347824305295944,3.62534236907959,0.0002500000118743628
7,0.10190217196941376,3.3307442665100098,0.07744564861059189,3.4906084537506104,0.0002500000118743628
8,0.11582880467176437,3.2962005138397217,0.06385869532823563,3.614820718765259,0.0002500000118743628
9,0.12398097664117813,3.2683663368225098,0.10597825795412064,3.3702967166900635,0.0002500000118743628
10,0.12228260934352875,3.2431304454803467,0.08288043737411499,3.4652464389801025,0.0002500000118743628
11,0.12364130467176437,3.22056245803833,0.10326086729764938,3.4117066860198975,0.0002500000118743628
12,0.14164401590824127,3.1722683906555176,0.11005435138940811,3.2898507118225098,0.0001250000059371814
13,0.145380437374115,3.1619319915771484,0.12635870277881622,3.277825355529785,0.0001250000059371814
14,0.14945651590824127,3.137507915496826,0.11277174204587936,3.352836847305298,0.0001250000059371814
15,0.14809782803058624,3.131355047225952,0.09375,3.4290108680725098,0.0001250000059371814
16,0.15523098409175873,3.085524797439575,0.11005435138940811,3.2652554512023926,6.25000029685907e-05
17,0.14639945328235626,3.0831265449523926,0.12092391401529312,3.2767045497894287,6.25000029685907e-05
18,0.15828804671764374,3.054246425628662,0.10597825795412064,3.3322556018829346,6.25000029685907e-05
19,0.16066576540470123,3.0322818756103516,0.12092391401529312,3.265936851501465,3.125000148429535e-05
20,0.16338315606117249,3.015197515487671,0.10869564861059189,3.314216375350952,3.125000148429535e-05
